,user_id,item_id,Sentimiento
0,76561197970982479,1250,positivo
1,76561197970982479,22200,positivo
2,76561197970982479,43110,neutral
3,js41637,251610,positivo
4,js41637,227300,neutral
5,js41637,239030,neutral
6,evcentric,370360,positivo
7,evcentric,237930,positivo
8,evcentric,263360,negativo
9,evcentric,107200,positivo
10,evcentric,224500,positivo
11,doctr,250320,positivo
12,doctr,20920,positivo
13,doctr,204100,positivo
14,doctr,224600,positivo
15,doctr,207610,negativo
16,doctr,108710,positivo
17,maplemage,211420,neutral
18,maplemage,211820,neutral
19,maplemage,730,positivo
20,maplemage,204300,positivo
21,Wackky,249130,negativo
22,Wackky,207610,negativo
23,Wackky,550,neutral
24,Wackky,65800,negativo
25,Wackky,220,positivo
26,76561198089393905,72850,negativo
27,76561198089393905,440,neutral
28,76561198077246154,304930,neutral
29,WeiEDKrSat,4000,neutral
30,thequeenpanda,42910,neutral
31,death-hunter,232090,neutral
32,death-hunter,1250,positivo
33,death-hunter,4000,positivo
34,DJKamBer,304930,negativo
35,DJKamBer,570,positivo
36,DJKamBer,218620,positivo
37,DJKamBer,224260,neutral
38,DJKamBer,1250,positivo
39,DJKamBer,440,neutral
40,Rainbow-Dashie,730,positivo
41,Rainbow-Dashie,440,positivo
42,Rainbow-Dashie,49520,negativo
43,76561198043472122,33440,negativo
44,MarbleShrine,220200,positivo
45,PPanther,211820,neutral
46,devvonst,440,positivo
47,devvonst,218740,neutral
48,devvonst,550,positivo
49,starkillershadow553,238090,positivo
50,starkillershadow553,277430,neutral
51,76561198058373434,8870,neutral
52,76561198048353577,368230,negativo
53,76561198048353577,33930,neutral
54,76561198066046412,359320,negativo
55,76561198066046412,219640,positivo
56,tru_mu_,287980,neutral
57,76561198070565427,208090,neutral
58,76561198070565427,242700,neutral
59,76561198070565427,570,neutral
60,76561198070565427,224260,neutral
61,SavageEeEe,221100,positivo
62,76561198076909484,570,negativo
63,KanadeTheNeko,331470,positivo
64,KanadeTheNeko,4000,neutral
65,GoAwayZach,304930,positivo
66,76561198054540475,12210,positivo
67,76561198054540475,265210,neutral
68,76561198054540475,48700,neutral
69,76561198061252210,730,positivo
70,OfficialShroomsy,113200,neutral
71,boydeer,440,neutral
72,boydeer,383080,neutral
73,VVillis,213670,neutral
74,76561198083226897,105600,negativo
75,76561198075277292,730,neutral
76,76561198075277292,570,positivo
77,76561198028895010,231180,positivo
78,76561198028895010,620,positivo
79,diego9031,223710,neutral
80,diego9031,299360,neutral
81,diego9031,322330,positivo
82,diego9031,1250,neutral
83,diego9031,12100,neutral
